Date,Recip_County,Recip_State,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Metro_status
2022-03-10,Unknown County,KS,0,0,NA
2022-03-10,Oregon County,MO,36.5,30.9,Non-metro
2022-03-10,Stevens County,KS,44.3,38,Non-metro
2022-03-10,Jay County,IN,42.6,38.3,Non-metro
2022-03-10,Laclede County,MO,43.1,37.2,Non-metro
2022-03-10,Winona County,MN,70.5,64.4,Non-metro
2022-03-10,Monroe County,IN,64.7,58.4,Metro
2022-03-10,Blaine County,NE,0,26.2,Non-metro
2022-03-10,Hamilton County,NE,0,45.9,Metro
2022-03-10,Parke County,IN,43.4,39.4,Non-metro
2022-03-10,Pulaski County,IN,49.5,45,Non-metro
2022-03-10,Richardson County,NE,56,51.7,Non-metro
2022-03-10,Wabasha County,MN,79.5,73,Metro
2022-03-10,Williams County,OH,48.1,44.5,Non-metro
2022-03-10,Burke County,ND,44.1,38.9,Non-metro
2022-03-10,Clinton County,IA,60,54.2,Non-metro
2022-03-10,Auglaize County,OH,40.9,39.2,Non-metro
2022-03-10,Charlevoix County,MI,66.3,63.8,Non-metro
2022-03-10,Mercer County,MO,42,35.3,Non-metro
2022-03-10,Page County,IA,58,53,Non-metro
2022-03-10,Mellette County,SD,42.5,34.9,Non-metro
2022-03-10,Greene County,IL,46.4,43.8,Non-metro
2022-03-10,Kalamazoo County,MI,62,61,Metro
2022-03-10,Iowa County,WI,72.8,68.5,Metro
2022-03-10,Fillmore County,NE,0,51.9,Non-metro
2022-03-10,Oglala Lakota County,SD,88.4,75.6,Non-metro
2022-03-10,Montgomery County,OH,60.7,56,Metro
2022-03-10,Washington County,IN,44.3,39.8,Metro
2022-03-10,Waukesha County,WI,75.7,69.5,Metro
2022-03-10,Cherokee County,IA,56.7,52.6,Non-metro
2022-03-10,Elk County,KS,37.9,33.7,Non-metro
2022-03-10,Morgan County,MO,42,36.5,Non-metro
2022-03-10,Box Butte County,NE,0,33.6,Non-metro
2022-03-10,Crawford County,IA,57.8,53.5,Non-metro
2022-03-10,Benton County,MN,46.5,43.2,Metro
2022-03-10,Wyandot County,OH,48.9,47.2,Non-metro
2022-03-10,Pipestone County,MN,58.1,54.2,Non-metro
2022-03-10,Kent County,MI,61,60.8,Metro
2022-03-10,Leavenworth County,KS,69.8,58.1,Metro
2022-03-10,Fulton County,IN,44,39.6,Non-metro
2022-03-10,Cass County,MI,49.2,43.1,Metro
2022-03-10,Perry County,IN,61.9,56.3,Non-metro
2022-03-10,Lake of the Woods County,MN,58.5,54.9,Non-metro
2022-03-10,Tazewell County,IL,62.9,58.9,Metro
2022-03-10,Burleigh County,ND,59.1,50.2,Metro
2022-03-10,Pierce County,NE,37.2,37,Non-metro
2022-03-10,Clark County,OH,56.1,52.4,Metro
2022-03-10,St. Clair County,MO,39.2,34.2,Non-metro
2022-03-10,Kittson County,MN,65.8,58.9,Non-metro
2022-03-10,Muskegon County,MI,54.7,54.5,Metro
2022-03-10,Sioux County,NE,0,24.7,Non-metro
2022-03-10,Sarpy County,NE,71,65.1,Metro
2022-03-10,Mitchell County,KS,55.8,53.1,Non-metro
2022-03-10,Clark County,MO,36.8,30.8,Non-metro
2022-03-10,Reno County,KS,54.8,49.1,Non-metro
2022-03-10,Sioux County,ND,70.2,56.6,Metro
2022-03-10,Sangamon County,IL,70.6,64.5,Metro
2022-03-10,Lyon County,KS,63.6,56.8,Non-metro
2022-03-10,Tippecanoe County,IN,63.7,57,Metro
2022-03-10,Seneca County,OH,50.6,48.6,Non-metro
2022-03-10,Taylor County,WI,37.1,35.2,Non-metro
2022-03-10,Jersey County,IL,59.9,55.7,Metro
2022-03-10,Langlade County,WI,56.5,53.5,Non-metro
2022-03-10,Sheridan County,ND,40.1,36.2,Non-metro
2022-03-10,Antrim County,MI,61.1,57.8,Non-metro
2022-03-10,Renville County,ND,43.8,38.5,Non-metro
2022-03-10,Benton County,IA,62.4,58,Metro
2022-03-10,Sully County,SD,54.3,44.4,Non-metro
2022-03-10,Unknown County,MN,0,0,NA
2022-03-10,Buena Vista County,IA,73,67.2,Non-metro
2022-03-10,Adams County,WI,60.9,56.3,Non-metro
2022-03-10,Decatur County,IA,44.9,40.4,Non-metro
2022-03-10,Putnam County,MO,38.9,33,Non-metro
2022-03-10,Mahnomen County,MN,66.7,58.6,Non-metro
2022-03-10,Caldwell County,MO,44.4,38.9,Metro
2022-03-10,Saunders County,NE,53.3,52,Metro
2022-03-10,Cass County,ND,69.1,59.8,Metro
2022-03-10,Sanilac County,MI,44,42.5,Non-metro
2022-03-10,Koochiching County,MN,61.3,58.4,Non-metro
2022-03-10,Jasper County,IL,45.7,41.8,Non-metro
2022-03-10,Grundy County,IL,63.2,57.5,Metro
2022-03-10,Harrison County,OH,45.9,42.7,Non-metro
2022-03-10,Ringgold County,IA,55.6,52,Non-metro
2022-03-10,Wayne County,NE,0,41.2,Non-metro
2022-03-10,Worth County,MO,47.2,40.5,Non-metro
2022-03-10,Ransom County,ND,66.8,58.7,Non-metro
2022-03-10,Dewey County,SD,87,72.7,Non-metro
2022-03-10,Dakota County,NE,71.5,63.5,Metro
2022-03-10,Lake County,SD,59.4,49.7,Non-metro
2022-03-10,Crawford County,IN,41.2,36.9,Non-metro
2022-03-10,Johnson County,IL,58.3,51.7,Non-metro
2022-03-10,Sullivan County,MO,49.3,42.4,Non-metro
2022-03-10,Holmes County,OH,18.8,17.9,Non-metro
2022-03-10,St. Joseph County,IN,64.9,57.8,Metro
2022-03-10,LaMoure County,ND,54.3,47.9,Non-metro
2022-03-10,Vanderburgh County,IN,62.6,56.9,Metro
2022-03-10,Manitowoc County,WI,64.6,60.2,Non-metro
2022-03-10,Buffalo County,NE,0,41.4,Non-metro
2022-03-10,Houghton County,MI,53.8,51.9,Non-metro
2022-03-10,Oconto County,WI,55.9,52.9,Metro
2022-03-10,Cole County,MO,59.9,52.2,Metro
2022-03-10,Benson County,ND,57.3,51.6,Non-metro
2022-03-10,Ashland County,WI,80,70.9,Non-metro
2022-03-10,Jackson County,WI,53.3,49.7,Non-metro
2022-03-10,Douglas County,WI,56.1,43.6,Metro
2022-03-10,Bureau County,IL,63.8,56.8,Non-metro
2022-03-10,Madison County,IA,58,53.7,Metro
2022-03-10,Allamakee County,IA,59,52.9,Non-metro
2022-03-10,Monroe County,MI,62,56.3,Metro
2022-03-10,Hardin County,IL,45.2,41.4,Non-metro
2022-03-10,Taylor County,IA,49.8,46.7,Non-metro
2022-03-10,Unknown County,IL,0,0,NA
2022-03-10,Kanabec County,MN,45.6,42.6,Non-metro
2022-03-10,Adair County,IA,53,49,Non-metro
2022-03-10,Marshall County,MN,54.3,49.7,Non-metro
2022-03-10,Anderson County,KS,48.2,42.8,Non-metro
2022-03-10,Humboldt County,IA,53,49.6,Non-metro
